LandPrice,RoadWidth,Gas,DistRoad,DevelopmentRate,Dist,LONG,LAT
210000,11,0,0.42,60,3.19731,141.3473796,43.05704488
168000,6,0,1.6,200,3.01419,141.3453529,43.0614762
172000,5.5,0,1,200,2.13275,141.3473064,43.06301359
172000,11,0,0.8,200,3.09473,141.3454365,43.06359196
110000,6,0,2,60,3.79272,141.3447605,43.05731594
123000,5.4,0,0.6,200,2.03384,141.3529536,43.05997666
155000,11,0,0.9,200,2.23197,141.3499993,43.05877405
130000,7,0,2.4,60,3.72426,141.3444593,43.05815902
158000,6,0,1.4,60,3.93692,141.3469646,43.05517173
102000,8,1,2.8,60,4.75098,141.3440802,43.05442948
126000,5.4,0,3,200,4.83261,141.3417086,43.06295284
190000,11,0,0.6,200,2.74981,141.3472251,43.05856171
147000,5,0,1.5,200,3.65483,141.3441554,43.06303843
153000,11,0,0.4,200,1.93697,141.3511448,43.05949746
138000,6,0,2.1,200,4.1952,141.3457455,43.05501718
210000,20,0,2.5,200,3.62412,141.3440469,43.06066595
220000,18,0,1.6,200,2.81016,141.3462577,43.05962873
195000,20,0,0.25,200,1.79615,141.352192,43.06011468
180000,20,0,1.5,200,3.36372,141.3446098,43.06194347
160000,13,0,1.7,200,3.76374,141.3437796,43.06210025
170000,11,0,2.2,200,2.84492,141.3458027,43.06079839
160000,11,0,2,200,3.30571,141.3447308,43.06102667
128000,10.9,0,2.8,200,5.05051,141.3414188,43.06358694
220000,11,0,0.7,200,2.37801,141.3487215,43.05872231
148000,8,0,0.53,200,2.90723,141.3495774,43.05719984
112000,7.2,0,0.91,200,2.58726,141.3542807,43.05963079
168000,6.5,0,0.9,200,3.80663,141.3480099,43.05521714
128000,8,1,1.6,60,4.70012,141.3462171,43.05339918
4000000,25,0,0.2,800,1.37372,141.3492964,43.06453969
4700000,20,0,0.35,800,0.636874,141.350505,43.06343018
5000000,20,0,0.45,800,0.356535,141.3513834,43.06436503
2600000,36,0,0.43,600,0.619468,141.35056,43.06326455
870000,20,0,0.18,400,0.878005,141.3518087,43.06584435
590000,20,0,0.52,400,2.44886,141.3484677,43.05864245
940000,27,0,0.4,400,1.56112,141.349005,43.0611449
300000,25,0,1.1,300,3.22131,141.3450226,43.06288628
1100000,45,0,0.45,400,1.29177,141.3491136,43.06257732
2500000,20,0,0.16,800,1.10199,141.3502377,43.0651264
1140000,20,0,0.4,600,0.96314,141.3511219,43.06564875
740000,20,0,1.1,400,1.06608,141.3509514,43.06147713
560000,25,0,0.9,300,1.82836,141.3479215,43.06251361
310000,14.5,0,0.6,300,2.70767,141.3463422,43.06398545
530000,20,0,0.45,300,1.9572,141.3478657,43.06393138
430000,20,0,1.1,300,2.16888,141.3473417,43.06114155
470000,20,0,0.85,400,1.99248,141.3498471,43.05937764
2600000,23.5,0,0.26,800,1.38161,141.3494301,43.06483284
490000,20,0,0.65,300,1.19792,141.3502127,43.06135072
1230000,12,0,0.7,600,0.513364,141.3519841,43.06510088
440000,25,0,0.4,300,2.6387,141.3489638,43.05794706
